street_name,long_snode,lat_snode,long_enode,lat_enode,full_geometry,maxspeed_kmh,oneway,highway_type
Thích Thiện Hoà,106.5015136,10.7417313,106.4830283,10.7526194,"10.7417313,106.5015136;10.7426203,106.5000271;10.7437404,106.4980955;10.7437501,106.4980795;10.7438094,106.4979811;10.744226,106.4972761;10.7450247,106.4959405;10.7454447,106.4952369;10.7466789,106.4931692;10.7478358,106.4912311;10.7479291,106.491069;10.7492879,106.4887096;10.7495155,106.4883237;10.7496545,106.4880905;10.7496865,106.488037;10.7514023,106.4851594;10.7514147,106.4851387;10.7517809,106.4844823;10.7518859,106.4843042;10.7522296,106.4837213;10.7523874,106.4834538;10.7526194,106.4830283",,,tertiary
Nguyễn Chí Thanh,106.6468512,10.756663,106.6487169,10.7564687,"10.756663,106.6468512;10.7566516,106.6469603;10.7566262,106.6472022;10.756579,106.6476517;10.7565575,106.6478611;10.7565512,106.6479042;10.7565357,106.648056;10.7565251,106.6481659;10.7565098,106.6483187;10.7564687,106.6487169",,,tertiary
way_32576040,106.5238875,11.032967,106.5474997,11.0456444,"11.032967,106.5238875;11.033768,106.5254769;11.034912,106.5278026;11.0359593,106.5298961;11.0364779,106.5309499;11.0373121,106.5326447;11.0375591,106.5331494;11.0381218,106.53428;11.0383002,106.5346384;11.0390345,106.536129;11.0393641,106.5367999;11.0396006,106.5372842;11.0401205,106.5383485;11.0407034,106.5395515;11.0412779,106.5407285;11.0413511,106.5408783;11.0413641,106.540905;11.04192,106.5420493;11.042481,106.5431904;11.0426968,106.5436311;11.0429796,106.5442085;11.043458,106.545222;11.043888,106.5460947;11.0440806,106.5464855;11.0442642,106.5468212;11.0443438,106.5469147;11.0444344,106.5469863;11.0446154,106.5470751;11.0453217,106.5473655;11.0456444,106.5474997",,,tertiary
Đường Vành Đai Trong,106.6153514,10.7518395,106.6154549,10.7531867,"10.7518395,106.6153514;10.7519703,106.6153666;10.7523658,106.6153939;10.7530656,106.6154496;10.7531867,106.6154549",,yes,tertiary
Võ Oanh,106.7158856,10.8043261,106.7199216,10.8030717,"10.8043261,106.7158856;10.8042501,106.716427;10.8040846,106.7173354;10.8040027,106.7177682;10.8039533,106.7180257;10.803893,106.7182437;10.8036686,106.7186849;10.8033958,106.719265;10.8032807,106.7195158;10.8031708,106.7197706;10.8030717,106.7199216",50,,tertiary
Thái Thị Giữ,106.6064446,10.8409141,106.6084159,10.8458589,"10.8409141,106.6064446;10.8416787,106.6064117;10.8419597,106.6064583;10.8422002,106.6064981;10.8425658,106.6065994;10.8428635,106.6066852;10.8430426,106.6067657;10.8431539,106.6068241;10.8433003,106.606901;10.8433806,106.6069431;10.8435339,106.6070353;10.8437005,106.6071395;10.843824,106.6072108;10.8439795,106.6073021;10.8445301,106.6076255;10.8445712,106.6076492;10.8446242,106.6076808;10.8449205,106.607858;10.8452287,106.6080425;10.8453898,106.6081363;10.8458589,106.6084159",40,,tertiary
Nguyễn Văn Lượng,106.6755052,10.8385359,106.680097,10.8385342,"10.8385359,106.6755052;10.838535,106.6756012;10.8385344,106.6756598;10.8385294,106.6761631;10.838524,106.6767044;10.8385208,106.6770183;10.8385203,106.6770752;10.8385115,106.6779523;10.8385103,106.6780736;10.8385012,106.6789889;10.8385006,106.6790498;10.8384992,106.6791894;10.8384962,106.6794952;10.8384943,106.6796794;10.8384914,106.6799748;10.8385342,106.680097",,yes,tertiary
Đường Trương Quốc Dung,106.673077,10.7940624,106.672468,10.7953736,"10.7940624,106.673077;10.794347,106.6730459;10.794389,106.6730242;10.7949207,106.6727486;10.7950577,106.6726395;10.7953736,106.672468",,,tertiary
Đường số 7,106.6190512,10.7515592,106.6234285,10.7516966,"10.7515592,106.6190512;10.7515887,106.6193695;10.7515926,106.6199191;10.7515917,106.6200735;10.7515777,106.6202721;10.7515696,106.6203641;10.7515497,106.6205958;10.7515422,106.6206755;10.7515302,106.6207749;10.7514938,106.6211687;10.7514488,106.6216641;10.7514442,106.6217148;10.7514305,106.6220232;10.7516518,106.6226146;10.7516834,106.6227047;10.7517219,106.6228309;10.7517295,106.6229309;10.7516966,106.6234285",,yes,secondary
Bình Long,106.6144477,10.7951976,106.6169064,10.7894464,"10.7951976,106.6144477;10.7948468,106.6146176;10.7946777,106.6146996;10.7943464,106.6148601;10.7943255,106.614864;10.7938994,106.6150735;10.7936116,106.6152161;10.7930436,106.6154642;10.7928579,106.6155453;10.7925572,106.6156767;10.7923731,106.6157572;10.7919094,106.6159468;10.7911967,106.6162382;10.7911149,106.6162699;10.7903892,106.6165508;10.7901103,106.6166588;10.7899633,106.6167234;10.7894464,106.6169064",,,secondary
Đường Tam Đa,106.8257217,10.8071227,106.8320826,10.8080013,"10.8071227,106.8257217;10.8071674,106.8260801;10.8072498,106.8266867;10.8073202,106.8270807;10.8073571,106.8273331;10.8075701,106.8288686;10.8076236,106.8292539;10.8077811,106.8302852;10.8080146,106.8318372;10.8080051,106.8320069;10.8080013,106.8320826",,,tertiary
Nguyễn Hồng Đào,106.6437296,10.7980264,106.6419041,10.7926159,"10.7980264,106.6437296;10.7979491,106.6437068;10.7978942,106.6436906;10.7975747,106.643591;10.7974518,106.6435527;10.7972467,106.6434888;10.797209,106.6434771;10.7968676,106.6433707;10.7966873,106.6433142;10.796574,106.6432769;10.7964088,106.6432224;10.7961617,106.6431556;10.7959877,106.6431086;10.7958313,106.6430662;10.795665,106.6430213;10.7955468,106.6429893;10.7955148,106.6429807;10.79532,106.6429275;10.7951127,106.6428697;10.7949871,106.6428326;10.7948232,106.6427843;10.7946003,106.6427185;10.7943767,106.6426525;10.7943263,106.6426311;10.7937408,106.642383;10.7936636,106.6423506;10.7931439,106.6421331;10.7930916,106.6421112;10.7930342,106.6420863;10.7928058,106.6419868;10.7927688,106.6419708;10.7926994,106.6419405;10.7926159,106.6419041",,,tertiary
Đường Bùi Huy Bích,106.6532283,10.7408886,106.6514918,10.7437912,"10.7408886,106.6532283;10.7409156,106.65317;10.7409607,106.65313;10.7419648,106.6525174;10.7424604,106.6522265;10.742945,106.651945;10.7430903,106.6518049;10.7432071,106.6516417;10.7433774,106.6515341;10.7434581,106.6514966;10.7435331,106.6514846;10.7436124,106.6514811;10.7436905,106.6514837;10.7437426,106.6514877;10.7437912,106.6514918",,,tertiary
Đường Số 400,106.810758,10.8710849,106.8141062,10.870112,"10.8710849,106.810758;10.8710216,106.8108053;10.8709646,106.8110439;10.8708731,106.8113983;10.8707676,106.8118065;10.8704011,106.813157;10.8703534,106.8133433;10.8702609,106.813661;10.8701383,106.814025;10.870112,106.8141062",,yes,tertiary
Đường Số 385,106.789792,10.8444178,106.7913553,10.8505977,"10.8444178,106.789792;10.84453,106.789766;10.8449446,106.7896682;10.8450965,106.7896421;10.8452338,106.7896802;10.8456635,106.7898811;10.8460407,106.7901102;10.8464248,106.7902996;10.8468288,106.7904965;10.8472169,106.7906902;10.8474434,106.790808;10.8476858,106.7908976;10.847783,106.790928;10.8480497,106.790972;10.8481345,106.790986;10.8482826,106.7909916;10.8485061,106.7909912;10.8488428,106.7909907;10.8491517,106.7909709;10.8494612,106.7909508;10.8497125,106.7909681;10.8497356,106.7909697;10.8498489,106.7909806;10.8500158,106.7909563;10.8502624,106.7909162;10.8505214,106.7908535;10.8506633,106.7908407;10.8506259,106.7912038;10.8505977,106.7913553",,,tertiary
Đường Phùng Hưng,106.6576532,10.7482092,106.6574716,10.749246,"10.7482092,106.6576532;10.7482734,106.657642;10.7484018,106.6576195;10.749246,106.6574716",50,,tertiary
Đường Nguyễn Duy,106.6559274,10.7421734,106.6605748,10.7431973,"10.7421734,106.6559274;10.7422927,106.6562906;10.74233,106.6564041;10.7424619,106.6568058;10.7425502,106.6570974;10.7426443,106.6574693;10.742649,106.6574876;10.7427451,106.6579315;10.742758,106.6580067;10.7427898,106.6581912;10.7427937,106.6582127;10.7428365,106.6584471;10.742901,106.658801;10.7429678,106.659167;10.7429822,106.6593905;10.7431239,106.6602216;10.7431973,106.6605748",,,tertiary
Trường Sa,106.6813102,10.7912286,106.6811788,10.7863811,"10.7912286,106.6813102;10.7911678,106.6812783;10.7910986,106.6812464;10.7910233,106.681218;10.790935,106.6811867;10.7908509,106.6811617;10.7907607,106.6811388;10.7906684,106.6811223;10.7905765,106.6811117;10.7904932,106.6811083;10.7904004,106.6811092;10.7901082,106.681115;10.7899741,106.6811167;10.7893186,106.6811274;10.7892415,106.6811298;10.7891671,106.6811349;10.7891088,106.6811403;10.7890314,106.681151;10.7889539,106.6811709;10.7888858,106.6811973;10.7888103,106.6812345;10.7887353,106.6812766;10.788678,106.681315;10.7886239,106.68136;10.7885636,106.6814163;10.7884918,106.6814942;10.7884496,106.6815491;10.7884085,106.6816094;10.7883753,106.6816689;10.7883463,106.6817328;10.7883189,106.6818151;10.7882979,106.6819007;10.7882855,106.681983;10.7882773,106.6820686;10.7882762,106.6821737;10.7882842,106.6825422;10.7882883,106.6827316;10.7882847,106.6828089;10.7882694,106.6828818;10.788241,106.6829582;10.7882051,106.683025;10.7881629,106.6830814;10.7881115,106.6831294;10.788058,106.6831678;10.7880017,106.6831978;10.7879379,106.6832203;10.7878688,106.6832364;10.7878059,106.6832429;10.7877414,106.683245;10.7875781,106.6832386;10.7874658,106.6832305;10.7874189,106.6832257;10.7873451,106.6832181;10.787285,106.6832096;10.7872223,106.6831951;10.7871604,106.6831718;10.787108,106.6831431;10.7870682,106.6831087;10.7870368,106.6830723;10.7870068,106.6830237;10.7869757,106.682958;10.7869509,106.6828869;10.7868767,106.6826023;10.7867176,106.681949;10.7866939,106.6818611;10.7866719,106.6817922;10.7866441,106.68172;10.7866135,106.6816488;10.7865848,106.6815889;10.7863811,106.6811788",50,no,tertiary
Đoàn Nguyễn Tuấn,106.5875886,10.6685136,106.6000786,10.662281,"10.6685136,106.5875886;10.6683167,106.5879956;10.6672872,106.5900762;10.6670931,106.5904576;10.666781,106.5910881;10.6664544,106.591748;10.666088,106.5925043;10.6660604,106.5925614;10.6657157,106.5932635;10.6655587,106.5935536;10.6651826,106.5942653;10.6650294,106.5945615;10.6646346,106.5953786;10.6645356,106.5955816;10.6643389,106.595985;10.6639522,106.5967274;10.663418,106.5978161;10.6632442,106.5981507;10.6629223,106.5987754;10.6623498,106.5999404;10.662281,106.6000786",,,secondary
way_32576386,106.4388058,11.0861622,106.4389095,11.083941,"11.0861622,106.4388058;11.0861291,106.4388067;11.0855341,106.4388224;11.0855002,106.4388231;11.0854491,106.4388262;11.0848161,106.4388649;11.0845831,106.4388792;11.0841567,106.438898;11.0839755,106.4389073;11.083941,106.4389095",,,tertiary
Phạm Hùng,106.6863236,10.7105861,106.6837555,10.7036889,"10.7105861,106.6863236;10.7103242,106.6863181;10.7101974,106.6863113;10.709918,106.6862798;10.7096326,106.6862277;10.7092979,106.6861433;10.7086805,106.6858918;10.7077301,106.6855004;10.7061569,106.6848091;10.7041057,106.6838989;10.7037757,106.6837525;10.7036889,106.6837555",,yes,secondary
